name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency;salary_average;is_senior
Data Analyst;FLYR Poland sp.z.o.o;SQL;data analyst;Kraków;POL;11 000;16 000;PLN;13500.0;False
Junior Data Analyst;Coinfirm;mysql;data analyst;Zdalna;N/A;3 000;5 000;PLN;4000.0;False
Junior Technical Product Manager;Scalaric;;data analyst;Kraków;POL;5 000;10 000;PLN;7500.0;False
Business System Analyst (Data&Analytics);Elitmind;;data analyst;Zdalna;N/A;15 000;21 000;PLN;18000.0;False
Data analyst (analityk danych);Alterdata.io sp. z o.o.;;data analyst;Zdalna;N/A;12 000;21 000;PLN;16500.0;False
Junior Data Analyst (fuels market);Gyfted;;data analyst;Gdynia;POL;6 000;11 000;PLN;8500.0;False
Senior Data Analyst;Addepto;;data analyst;Zdalna;N/A;16 000;26 000;PLN;21000.0;True
Junior Data Engineer (AI);Power Media;SQL;data analyst;Zdalna;N/A;9 000;13 000;PLN;11000.0;False
Junior Application Consultant;Syncron Sp. z o.o.;;data analyst;Zdalna;N/A;5 000;8 000;PLN;6500.0;False
Junior BI & Data Science Analyst;10 Senses;;data analyst;Warszawa;POL;6 000;9 000;PLN;7500.0;False
Junior Data Analyst;Colliers Poland;;data analyst;Warszawa;POL;8 000;12 000;PLN;10000.0;False
Data QA Analyst;FLYR Poland sp. z o.o.;sql;data analyst;Kraków;POL;11 000;16 000;PLN;13500.0;False
Data Science Lead;Datafeedwatch;;data analyst;Zdalna;N/A;20 000;25 000;PLN;22500.0;False
Data Analyst;Devire Sp. z o.o.;;data analyst;Warszawa;POL;10 000;20 000;PLN;15000.0;False
Junior Data Analyst;John Leggy;;data analyst;Warszawa;POL;5 000;7 000;PLN;6000.0;False
Lead Data Analyst;SoftServe;;data analyst;Zdalna;N/A;11 000;21 000;PLN;16000.0;False
Business Analyst/Senior Business Analyst;SoftServe;;data analyst;Zdalna;N/A;11 000;21 000;PLN;16000.0;True
Data Analyst (ID: 11271);Infopulse;;data analyst;Zdalna;N/A;21 000;22 000;PLN;21500.0;False
Middle/Senior Data Analyst;Consult Business Partner;python;data analyst;Budapest;POL;11 000;19 000;PLN;15000.0;True
